gene_symbol,Sprr1b
gene_accession_id,MGI:106659
mouse_strain,C57BL
parameter_name,Gait
pvalue,0.1151753
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_033_001
analysis_id,yr6az5e5sme981u
