analysis_id,5pfy5ew8v66t5l2
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Basophil cell count
pvalue,0.8193007
parameter_id,IMPC_HEM_037_001
gene_symbol,Tnfsf8
