parameter_name,Head morphology
gene_accession_id,MGI:2446186
analysis_id,10087mk26e0d3w9
mouse_life_stage,E18.5
gene_symbol,Lpgat1
pvalue,0.8568488
mouse_strain,C57BL
parameter_id,MGP_CSD_064_001
