gene_symbol,Nipal3
mouse_strain,129SV
parameter_name,Retina (combined)
mouse_life_stage,Early adult
pvalue,0.6083462
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:1921802
analysis_id,1347ngbllew85f7
