analysis_id,48958u338fjb596
parameter_id,IMPC_EYE_007_001
gene_symbol,Hpca
pvalue,0.9652801
mouse_life_stage,Early adult
parameter_name,Cornea
gene_accession_id,MGI:1336200
mouse_strain,C57BL
