analysis_id,8jq7u7i1j5725od
parameter_name,Eosinophil number
pvalue,0.5111254
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
parameter_id,MGP_PBI_040_001
mouse_strain,C57BL
gene_symbol,Sprr1b
