gene_symbol,Cds2
parameter_id,M-G-P_014_001_009
pvalue,0.8999441
analysis_id,604j8jamd8l62z1
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:1332236
parameter_name,lens
