parameter_id,HMGULA_HWT_008_001
analysis_id,474r6b6pr25602g
pvalue,0.9627831
mouse_strain,C57BL
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
parameter_name,Heart weight
mouse_life_stage,Early adult
