analysis_id,p9s4009q8o0mw8q
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6880079
parameter_id,MGP_PBI_003_001
parameter_name,CD4+ alpha beta T cell percentage
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
