gene_symbol,Sla2
parameter_name,Resting Treg cells - % of CD45+
pvalue,0.1867349
analysis_id,dq55uf6th85etv3
mouse_life_stage,Early adult
parameter_id,MGP_IMM_078_001
gene_accession_id,MGI:1925049
mouse_strain,C57BL
