parameter_name,Triglycerides
mouse_life_stage,Early adult
analysis_id,8zb9l267jgk6e30
gene_symbol,Arnt
pvalue,0.4631006
mouse_strain,C57BL
parameter_id,HMGULA_CBC_017_001
gene_accession_id,MGI:88071
