analysis_id,3ob446dr03mntil
parameter_id,JAX_OFD_012_001
mouse_strain,C57BL
gene_symbol,Hspa5
mouse_life_stage,E12.5
gene_accession_id,MGI:95835
pvalue,0.214183
parameter_name,Periphery permanence time
