gene_symbol,Traf6
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2458269
gene_accession_id,MGI:108072
analysis_id,2g3fy235540t0ky
parameter_id,IMPC_IMM_005_002
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
