parameter_name,Hindlimb nail - number
analysis_id,p2s51js38222tsx
gene_symbol,Kifap3
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_051_002
pvalue,0.1816883
mouse_strain,C57BL
