analysis_id,b1bnrc0dc1w3e7u
gene_accession_id,MGI:1922082
parameter_name,Neutrophils
mouse_strain,C57BL
pvalue,0.1878694
parameter_id,IMPC_IMM_050_001
mouse_life_stage,Early adult
gene_symbol,Slc45a3
