analysis_id,8f402825c4rm6kr
gene_symbol,Psmd14
parameter_name,Skull shape
mouse_strain,C57BL
gene_accession_id,MGI:1913284
pvalue,1.052973
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_001_001
