gene_symbol,Bmi1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_021_001
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.2948028
analysis_id,34t4zyisre29785
gene_accession_id,MGI:88174
