analysis_id,hoxnhqvcw38r2h8
gene_symbol,Pum1
parameter_id,IMPC_ECG_003_001
mouse_life_stage,Early adult
pvalue,0.2564423
gene_accession_id,MGI:1931749
mouse_strain,C57BL
parameter_name,CV
