analysis_id,80qjte1bwh35jqd
gene_accession_id,MGI:1924315
gene_symbol,Ints7
mouse_strain,C57BL
parameter_id,IMPC_CBC_003_001
pvalue,0.1149891
parameter_name,Chloride
mouse_life_stage,Early adult
