analysis_id,3fur2wun4ce3gvw
parameter_id,IMPC_ECH_005_001
mouse_life_stage,Early adult
parameter_name,Fractional Shortening
pvalue,0.3875327
mouse_strain,C57BL
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
