analysis_id,0l9s5ikvm66gv42
pvalue,0.3054396
parameter_name,Startle response
parameter_id,ESLIM_008_001_013
gene_symbol,Ntmt2
gene_accession_id,MGI:2685053
mouse_life_stage,Early adult
mouse_strain,C57BL
