analysis_id,456522np2z3kgh2
gene_symbol,Hpca
pvalue,0.6051091
parameter_name,Coat - hair distribution - head
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:1336200
parameter_id,IMPC_CSD_012_001
