parameter_name,Neutrophils
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_050_001
pvalue,0.3975714
gene_symbol,Col6a3
gene_accession_id,MGI:88461
analysis_id,351579wja09tj37
mouse_strain,C57BL
