analysis_id,80x7roj5968cvp8
parameter_id,MGP_IMM_092_001
mouse_life_stage,E15.5
pvalue,0.3324873
parameter_name,Effector CD4- NKT cells - % of CD45+
gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_strain,C57BL
