gene_symbol,Sdcbp2
analysis_id,cb558td8c02o61c
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
parameter_id,IMPC_IMM_032_001
pvalue,0.4091948
parameter_name,CD8 CD44+CD62L- T cells
