analysis_id,252e3mqo0tz5kuk
parameter_name,Lean mass
mouse_strain,C57BL
gene_symbol,Slc30a4
parameter_id,IMPC_DXA_003_001
pvalue,0.6318022
gene_accession_id,MGI:1345282
mouse_life_stage,Middle aged adult
