gene_symbol,Traf6
gene_accession_id,MGI:108072
analysis_id,9ki8x6i80gby923
mouse_strain,C57BL
pvalue,0.1924224
parameter_name,Lean mass
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_003_001
