analysis_id,1627710u21780u6
parameter_name,Neural tube morphology
pvalue,0.3318164
gene_symbol,Gfi1b
mouse_strain,C57BL
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_060_001
