parameter_name,Neutrophil percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_019_001
gene_accession_id,MGI:3650254
analysis_id,yi7kkv67j5xjq18
pvalue,0.4119518
gene_symbol,Zfp683
