gene_symbol,Arpc2
parameter_name,Total CD4+ T cells - % of CD45+
gene_accession_id,MGI:1923959
analysis_id,2u1x3vdrf2wzu79
pvalue,0.8636238
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,MGP_IMM_071_001
