parameter_name,Ulna
analysis_id,ob19kv3nj8w7z40
gene_symbol,Nanp
pvalue,0.697672
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_023_001
mouse_strain,C57BL
