gene_symbol,Msantd3
parameter_id,IMPC_IMM_025_001
mouse_life_stage,Early adult
parameter_name,DN CD25- NKT cells
mouse_strain,C57BL
gene_accession_id,MGI:1913915
analysis_id,w8813b4mm743453
pvalue,0.3180605
