analysis_id,0wvxagfbwu1fm25
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
pvalue,0.7377836
parameter_id,HMGULA_CBC_017_001
gene_symbol,Lpgat1
parameter_name,Triglycerides
mouse_strain,C57BL
