parameter_name,Prepulse inhibition - PP2
gene_symbol,Rgs20
mouse_strain,C57BL
analysis_id,2u4f6r479930me2
pvalue,0.2954243
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
parameter_id,ESLIM_011_001_702
