analysis_id,s2450167g37l78k
pvalue,0.9502427
gene_symbol,Snap23
mouse_strain,C57BL
gene_accession_id,MGI:109356
parameter_id,JAX_OFD_021_001
mouse_life_stage,Early adult
parameter_name,Number of rears - total
