analysis_id,rg8132kxq73z9f5
parameter_id,MGP_IMM_129_001
mouse_life_stage,Early adult
gene_symbol,Dcaf12
parameter_name,CD11b-high cDC - % of CD45+
pvalue,1.356346
gene_accession_id,MGI:1916220
mouse_strain,C57BL
