analysis_id,mc0d447p19g9ybx
parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
gene_symbol,Ssr2
mouse_strain,C57BL
pvalue,0.9286963
