parameter_id,IMPC_LDT_008_001
mouse_strain,C57BL
parameter_name,Percent time in light
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
pvalue,0.1089507
analysis_id,819e43to53zrcg3
gene_accession_id,MGI:2441730
