parameter_name,Response amplitude - S
gene_symbol,Cds2
pvalue,0.1885835
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
mouse_strain,C57BL
analysis_id,eq0e37iaj012nja
parameter_id,IMPC_ACS_006_001
