mouse_life_stage,E9.5
parameter_name,Latency to center entry
analysis_id,p45uac0e71kizxh
gene_symbol,Wars2
pvalue,0.5913246
mouse_strain,C57BL
gene_accession_id,MGI:1917810
parameter_id,IMPC_OFD_018_001
