parameter_name,Centre distance travelled
parameter_id,ESLIM_007_001_010
analysis_id,5us4l185b950lu1
pvalue,0.2155415
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
