gene_symbol,Inka2
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:1923497
analysis_id,l7282vs6mp83ffk
mouse_strain,C57BL
parameter_id,IMPC_CSD_008_001
pvalue,0.4252546
mouse_life_stage,Early adult
