analysis_id,2dpmjnu91i660wk
mouse_strain,C57BL
gene_symbol,Sla2
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
parameter_id,MGP_BMI_014_001
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
pvalue,1.422348
