analysis_id,1l331lo25g88iez
parameter_id,MGP_IMM_125_001
gene_symbol,F2
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
pvalue,0.7046274
mouse_strain,C57BL
