analysis_id,a2r3e9x31z14x90
pvalue,0.3133659
gene_symbol,Duoxa2
parameter_id,IMPC_OFD_017_001
parameter_name,Center average speed
mouse_strain,C57BL
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
