parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:88071
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,7n6891847fcnfri
pvalue,0.7450709
parameter_name,Placenta Morphology
gene_symbol,Arnt
