parameter_name,Hindpaw - size
analysis_id,p23lw89y49ga818
mouse_life_stage,Early adult
gene_symbol,Lurap1
mouse_strain,C57BL
pvalue,0.3920963
parameter_id,JAXLA_CSD_041_002
gene_accession_id,MGI:1915325
