analysis_id,5tnn45jl81sr3d0
mouse_strain,C57BL
gene_symbol,Traf6
pvalue,0.492486
parameter_name,RR
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_004_001
