mouse_strain,C57BL
parameter_name,NK Subsets (Q2)
gene_symbol,Snap23
analysis_id,d82xzqc8i7n10f6
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_055_001
pvalue,0.5285902
gene_accession_id,MGI:109356
