analysis_id,t5ts4u0zd1l2xd5
gene_accession_id,MGI:1915087
parameter_name,Gait
Parameter_id,IMPC_CSD_033_001
gene_symbol,Tiprl
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1275432
