gene_symbol,Nr0b2
parameter_name,IgD+ mature B cell percentage
mouse_strain,B6J
pvalue,0.5060088
analysis_id,6j5f184p1cj7393
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
parameter_id,MGP_PBI_015_001
