mouse_strain,129SV
parameter_id,MGP_MLN_064_001
analysis_id,00c71iv840dp7m7
mouse_life_stage,Early adult
gene_symbol,Ddx27
pvalue,0.9274264
gene_accession_id,MGI:2385884
parameter_name,Total CD4+ T cells - % of CD45+
