parameter_id,IMPC_FEA_003_001
mouse_life_stage,Middle aged adult
parameter_name,Conditioning Baseline % Freezing Time
gene_accession_id,MGI:2446274
mouse_strain,C57BL
analysis_id,8l932o75r8ezwf8
pvalue,0.5908317
gene_symbol,Frmpd1
