parameter_name,Hindlimb digit - size
analysis_id,0g02165698945i9
pvalue,0.41042
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
gene_symbol,Atf3
