parameter_name,Eosinophils
gene_symbol,Sprr1b
analysis_id,i6s653728q15nm5
mouse_strain,C57BL
parameter_id,IMPC_IMM_052_001
pvalue,0.5341133
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
