gene_symbol,Hnf4a
pvalue,0.5686041
parameter_id,MGP_IMM_036_001
gene_accession_id,MGI:109128
mouse_life_stage,Middle aged adult
parameter_name,KLRG1+ NK cells - % of NK cells
mouse_strain,C57BL
analysis_id,sfkq93k20u5jnel
