parameter_name,Periphery distance travelled
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,34l025i52x5wq7x
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
pvalue,0.4945415
parameter_id,JAX_OFD_010_001
