parameter_name,Follicular B Cells (CD21/35+)
pvalue,0.836294
analysis_id,1005g65v6ibwwnc
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
parameter_id,IMPC_IMM_067_001
gene_symbol,Cisd2
mouse_strain,C57BL
