analysis_id,6n5nud43t4gza7d
pvalue,0.6468121
parameter_id,IMPC_CBC_015_001
mouse_strain,C57BL
parameter_name,Total cholesterol
gene_symbol,Pglyrp3
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
