parameter_name,Eye
gene_accession_id,MGI:1913396
analysis_id,6gh7ypt4tap1me3
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.08578383
gene_symbol,Maco1
parameter_id,IMPC_EYE_001_001
