parameter_name,MZB (CD21/35 high)
analysis_id,o718tg7z1i3vx24
gene_accession_id,MGI:2444114
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
pvalue,0.9764989
mouse_life_stage,Early adult
gene_symbol,Zcchc2
