parameter_name,End-Systolic Diameter
parameter_id,IMPC_ECH_001_001
analysis_id,gny76tdall1we6k
pvalue,0.2148529
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
mouse_strain,C57BL
gene_symbol,FGB
