parameter_name,Hindlimbs - size
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
parameter_id,JAXLA_CSD_022_001
analysis_id,2m5se47p3207s6n
pvalue,0.5264922
gene_symbol,Tubb4b
