gene_symbol,Npbwr1
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
parameter_name,Periphery resting time
parameter_id,IMPC_OFD_011_001
mouse_strain,C57BL
analysis_id,ao61963724062ao
pvalue,0.6123308
